t,pitch_hz,pitch_midi
151.53,293.7760706957898,62
151.54,294.02647821959215,62
151.55,294.0354705003897,62
151.56,294.15933215123135,62
151.57,294.40300376349103,62
151.58,294.3807192916874,62
151.59,294.28054130809244,62
151.6,293.91641789014864,62
151.61,293.5629487572273,62
151.62,293.7597540487826,62
151.63,293.94140309526125,62
151.64,293.9610599265224,62
151.65,293.8254581857961,62
151.66,293.6136638856327,62
151.67,293.45538147632914,62
151.68,293.31410436908646,62
151.69,293.24089922626354,62
151.7,293.4028355776848,62
151.71,293.7036572349448,62
151.72,293.869500746026,62
151.73,293.78204143301394,62
151.74,293.4301414083864,62
151.75,292.9537176161357,62
151.76,292.6914622704834,62
151.77,292.5649104951582,62
151.78,292.4130045058948,62
151.79,292.2679044060275,62
151.8,292.03963461774407,62
151.81,291.0856920338097,62
151.82,288.28121361400184,62
151.83,283.6411649124799,61
151.84,281.81004470589215,61
151.85,282.92294962714277,61
151.86,285.0748216936984,61
151.87,287.05150510623974,62
151.88,288.4726721495951,62
151.89,289.09368839426566,62
151.9,289.4667859694274,62
151.91,290.3212426401116,62
151.92,291.34585380419514,62
151.93,292.29959214526104,62
151.94,292.8505656586512,62
151.95,293.0522308855801,62
151.96,293.0998186898482,62
151.97,293.31092072847116,62
